speaker,text,labels,wav.file
"Samuel A. Alito, Jr.",Just send it back and have it done in the normal course by the court of appeals or by the district court.,skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_26_2012_2735-898_2741-468.wav
"Samuel A. Alito, Jr.","So what you're saying is that the ordinary interpretation of the concept of a discriminatory tax should not be applied here, because Congress used specific language to take tax exemptions out of the determination of discrimination under other provisions.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_10_2010_1752-662_1769-488.wav
"Samuel A. Alito, Jr.","Well, this was an unusual -- that's a somewhat unusual situation where you had been -- there had already been a trial of someone else who was allegedly involved in the scheme.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_16_2013_809-816_820-53.wav
"Samuel A. Alito, Jr.","Why is -- why is re-examination sufficient to answer the concerns that Justice Breyer mentioned, when re-examination can't consider certain issues, and a case such as this doesn't necessarily have to be stayed while re-examination takes place?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_18_2011_3058-768_3074-061.wav
"Samuel A. Alito, Jr.","Well, there was a notice, wasn't there?",,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_30_2010_3623-896_3627-598.wav
"Samuel A. Alito, Jr.",Do you think it is going to be very hard for the lawyer to find something that some juror said that can be used to make out a somewhat plausible claim that the -- that the juror was dishonest during voir dire?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_08_2014_984-919_1000-614.wav
"Samuel A. Alito, Jr.","Now, there's -- something's going on in the workplace and the supervisor happens to be walking by, maybe a machine is broken, an employee has been hurt, and an employee walks up to the supervisor who is walking briskly by, taps the supervisor on the shoulder and says the company is violating the Fair Labor Standards Act because of the placement of a clock.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_13_2010_89-666_111-405.wav
"Samuel A. Alito, Jr.","A worker has been hurt, a supervisor is going to attend to the hurt worker, and an employee says, the company is violating the FLSA.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_13_2010_1357-79_1367-473.wav
"Samuel A. Alito, Jr.","But I thought that was the gist of your argument, the heart of your argument, that traditional unconscionability in California and elsewhere focuses on unfairness to the party who is before the tribunal.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_09_2010_1127-478_1139-614.wav
"Samuel A. Alito, Jr.","If you took the group of people who are subject to the mandate and you calculated the amount of health care services this whole group would consume and figured out the cost of an insurance policy to cover the services that group would consume, the cost of that policy would be much, much less than the kind of policy that these people are now going to be required to purchase under the Affordable Care Act?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_27_2012_2144-396_2170-611.wav
"Samuel A. Alito, Jr.","If a court -- if this Court were to decide in a future case that effective assistance of counsel requires an attorney to advise the client of all collateral consequences, potential loss of a professional license, etc.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_01_2012_724-631_739-558.wav
"Samuel A. Alito, Jr.",Let me give you an example of a practice that's a little bit different.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_06_2013_2189-441_2193-06.wav
"Samuel A. Alito, Jr.",Just as you might have a situation where the only way in which you could respect municipal lines or county lines was to under-populate some districts to some degree.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_08_2015_1267-71_1278-775.wav
"Samuel A. Alito, Jr.","Well, my problem with this case is, other than administrative convenience, I don't see what purpose Congress could have thought that this provision serves.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_22_2013_1730-627_1741-668.wav
"Samuel A. Alito, Jr.","Before your time expires, I would like to make sure I understand your position on this as-applied versus facial issue.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_27_2013_3444-317_3452-323.wav
"Samuel A. Alito, Jr.",But is there a difference between the rights that could be asserted by the consul or a consulate official and the rights that could be asserted by a criminal defendant?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_29_2006_4200-865_4209-721.wav
"Samuel A. Alito, Jr.","But that's the one you one you think we should draw, between mere -- if it's gross negligence, then there's equitable tolling; if it's mere negligence, it's not?",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_01_2010_208-986_216-859.wav
"Samuel A. Alito, Jr.","Let's say we have a case in which a defendant convicted in State court has some exhausted Federal claims that this defendant wants to raise in a Federal habeas; also files a motion seeking a reduction of sentence based purely on a request for leniency, sentence within the range prescribed by the statute.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_29_2010_2023-381_2048-965.wav
"Samuel A. Alito, Jr.","Why would it be difficult for counsel to say, may we have a sidebar, and say, Your Honor, I don't think that there should be a mistrial, I think you should ask the jury to deliberate further?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_29_2010_607-013_619-321.wav
"Samuel A. Alito, Jr.","Well, somebody getting -- someone getting a letter that you sent to people who were qualified didn't know that.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_22_2010_2375-786_2380-19.wav
"Samuel A. Alito, Jr.","Wasn't that said in relation to the principle that only -- that where paternity was not established, the child would be regarded as having the citizenship of the mother under the law of virtually every country, if not every country, at that time?",,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_10_2010_138-222_154-664.wav
"Samuel A. Alito, Jr.","Now, I take it that that commitment doesn't have to be something contractual.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_27_2011_348-874_353-159.wav
"Samuel A. Alito, Jr.",And the only factors that can be considered against the forum selection clause to -- to result in an exceptional case where that wouldn't be honored are factors that have nothing to do with the convenience of the -- of the party that doesn't want it tried in -- in the selected forum or with the likelihood of success of the party that doesn't want it tried in the sel -- in the jurisdiction specified in the forum selection clause.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_09_2013_2657-48_2685-044.wav
"Samuel A. Alito, Jr.","Suppose -- suppose that the proponents of Propositions 75 and 76 had come to the union and said, would you please give us an interest-free loan for money, because we want to use this money to -- to persuade the -- the electorate to enact these, but don't worry, because we're going to pay it back right after the election, when we've achieved our electoral ends.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_10_2012_3100-492_3124-976.wav
"Samuel A. Alito, Jr.","If they had done either of the things you just mentioned, putting it on its Web site or putting it on YouTube, your position would be that the Constitution would permit the prohibition of that during the period prior to the primary or the election?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_24_2009_2558-272_2575-092.wav
"Samuel A. Alito, Jr.",That's what gives me pause about your interpretation.,,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_12_2013_3074-863_3078-965.wav
"Samuel A. Alito, Jr.","--If we took the approach that Justice Breyer outlined, would -- why would we not do the same thing with respect to all the applications of all of the amendments that up to this point have been regarded as being completely incorporated, along with all of our decisions?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_02_2010_2560-564_2575-324.wav
"Samuel A. Alito, Jr.","But in -- in the instance where the defendant doesn't think it would be worthwhile to subpoena the -- the recordkeeper, the person who performed the test, but simply wants to put the prosecution through the effort of getting the person there to testify, it's -- what is achieved?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_10_2008_1093-064_1109-543.wav
"Samuel A. Alito, Jr.","Suppose a petitioner in the State post-conviction proceeding proffers an affidavit from one mental health expert alleging one type of mental disorder, and then after relief is denied in the State court, the petitioner files in Federal court and asks for an evidentiary hearing at which the petitioner is going to call a dozen highly distinguished mental health experts who will testify to a very different mental disorder.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_09_2010_2525-603_2560-026.wav
"Samuel A. Alito, Jr.",That... because they banned handguns and they had this provision on the trigger lock which... and the issue... my question with the trigger lock doesn't have to do with whether trigger locks are generally a good idea.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_18_2008_5454-882_5465-551.wav
"Samuel A. Alito, Jr.","While he's out there, he shaves, then he wants to come back and go into barracks B.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_07_2014_2565-307_2568-462.wav
"Samuel A. Alito, Jr.","So then the person simply takes some preventative measures, and acquires standing that wouldn't otherwise be present.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_29_2012_1969-512_1977-275.wav
"Samuel A. Alito, Jr.","Well, the point is if Congress's objective, if one of its objectives in addition to administrative convenience was to effectuate the will of the insured, then I don't see why it would provide for Federal law to override a subsequent will which directly expresses the desire of the insured.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_22_2013_917-735_938-664.wav
"Samuel A. Alito, Jr.",There are considerations -- this is not a situation in which the emission of greenhouse gases can be totally prohibited.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_19_2011_2357-95_2365-604.wav
"Samuel A. Alito, Jr.","That's a -- that raises a due process issue, and maybe there would be a serious due process question involved.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_16_2013_1778-376_1784-516.wav
"Samuel A. Alito, Jr.","Well, could you have cross-petitioned in an effort to get damages, so if you had wanted to preserve the issue, you surely could have done that, couldn't you?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_01_2011_3065-908_3073-863.wav
"Samuel A. Alito, Jr.","At the beginning -- at some point prior to each election cycle, the commission that supervises this law would make a calculation about how much money would be needed for a candidate in a gubernatorial race or a State senate race or an assembly race, if that's what it's called in Arizona, to get that candidate's message out to the electorate, and that would be the amount of the public funding, period.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_28_2011_802-729_829-696.wav
"Samuel A. Alito, Jr.","If the employer had a policy of paying women, all women, 20 percent less than men, and it continued that policy, surely it would know in the present day when it issued those paychecks that it was paying women less than men.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_27_2006_1733-457_1749-3.wav
"Samuel A. Alito, Jr.","--That may be true, but if you were a juror and Boatner testified and he was cross-examined and they attempted to impeach him based on his failure to make an identification right at the scene and he said, well, that was because five of my friends had just been killed and I was lying on the floor and I thought I was going to be shot too and I had a big gash on my head, and then a couple of hours later when I collected myself and they asked me the same question at the police station I provided a description and didn't say I couldn't identify anybody, do you think jurors would just dismiss that and say, well, he couldn't identified him at the scene so he must have been lying when he identified -- when he provided a description later at the police station?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_08_2011_437-358_478-768.wav
"Samuel A. Alito, Jr.","It makes both men and women increasingly unattractive as employees and therefore reduces any special disincentive that might have been created by (A), (B), and (C).",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_11_2012_2643-496_2655-304.wav
"Samuel A. Alito, Jr.","We took this case to decide whether the Faragher and Ellerth -- and Ellerth supervisory liability rule is limited to those harassers who have the power to hire, fire, demote, promote, transfer, or discipline their victim.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_26_2012_1928-193_1942-001.wav
"Samuel A. Alito, Jr.",And the people who are making all these statements are... are to be understood as witnesses against somebody within the... the language of the Confrontation Clause?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_20_2006_326-929_335-728.wav
"Samuel A. Alito, Jr.","It seems to me what you're arguing is that we should determine that there are certain harms that are sufficient to allow the prohibition of a false statement and there are certain harms that are not sufficient, irrespective of what judgment Congress made about the significance of those harms.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_22_2012_2647-657_2666-148.wav
"Samuel A. Alito, Jr.","If this warning is read the way we might -- lawyers might read a statute or a contract or something like that, then I don't know why saying,",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_07_2009_2633-301_2644-959.wav
"Samuel A. Alito, Jr.",I presume the Government could not refuse to have the names of certain deceased soldiers on that monument because it disagreed with certain ideas that they had espoused at one point or another.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_12_2008_1118-147_1133-924.wav
"Samuel A. Alito, Jr.",The -- determining what is a mixed question is notoriously difficult.,skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_01_2010_1574-045_1578-359.wav
"Samuel A. Alito, Jr.",Can I ask you a question about these event studies to which you referred.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_05_2014_1445-698_1448-983.wav
"Samuel A. Alito, Jr.",Could the -- suppose the North Carolina legislature passed a statute that says something like the following:,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_08_2013_2692-885_2698-455.wav
"Samuel A. Alito, Jr.",So I just don't see how cost can be fit into that concept of availability.,skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_02_2008_1773-378_1778-218.wav
"Samuel A. Alito, Jr.","Isn't your argument that in a situation where the exigent circumstances are the creation of the scenario that the police have set up, the police cannot -- and you have a police officer who is being the undercover operative who has the power to make an arrest, that police officer cannot signal for other officers to come in and assist with the arrest?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_14_2008_2552-699_2579-166.wav
"Samuel A. Alito, Jr.",So the remedy would be an automatic reversal in a case like that where the defendant would be represented by appointed counsel?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_18_2006_3239-561_3246-636.wav
"Samuel A. Alito, Jr.",Could you require the disclosure of the names of government witnesses?,,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_16_2013_787-981_793-012.wav
"Samuel A. Alito, Jr.","Well, that's -- that's a little bit puzzling because there are -- electronic communications are stored all over the place in -- and there isn't a history -- these are -- these are relatively new.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_19_2010_1216-202_1230-022.wav
"Samuel A. Alito, Jr.",-- after the Affordable Care Act? Doesn't the Affordable Care Act include in ERISA a section authorizing the Secretary to gather information from plans for the purpose of improving health outcomes?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_02_2015_297-725_314-51.wav
"Samuel A. Alito, Jr.","So why can't this all be pushed back, and wouldn't that eliminate a lot of the problems that we are grappling with in this case?",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_09_2012_397-084_404-857.wav
"Samuel A. Alito, Jr.","Well, what -- what narrowing construction would be consistent with Alvarez?",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_22_2014_2964-51_2967-417.wav
"Samuel A. Alito, Jr.","So suppose they say, instead of no business will be conducted, no nominations will be considered.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_13_2014_2392-927_2398-098.wav
"Samuel A. Alito, Jr.","If the plaintiffs in this case were to be unionized -- excuse me -- in a unionized Federal workplace, would they be assessed a mandatory agency fee?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_21_2014_3032-209_3040-815.wav
"Samuel A. Alito, Jr.","And so why doesn't it make sense to view that judgment of restitution as a separate judgment, just as the award of an attorney's fees is a separate final appealable order in a civil case?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_20_2010_957-743_968-698.wav
"Samuel A. Alito, Jr.",And you have ten -- ten habeas petitioners in California who file on exactly the same day.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_29_2010_1162-373_1171-812.wav
"Samuel A. Alito, Jr.","So I don't know that you can -- it's reasonable to argue that because they misinterpreted Washington law, they were misinterpreting the literal language of the jury instruction.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_15_2008_1668-614_1678-755.wav
"Samuel A. Alito, Jr.",And he wants to sell heroin but doesn't want to cause anybody to die.,,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_12_2013_1278-556_1282-341.wav
"Samuel A. Alito, Jr.","But you can get that from the purpose of the statute, rather than from the sequence in which these elements are listed.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_24_2010_594-189_600-748.wav
"Samuel A. Alito, Jr.","The judge may have been saying something like this: I have -- I have identification evidence here. And by the way, I -- I read the -- the whole -- everything -- the whole record and -- that's in the appendix and the closing argument of defense counsel.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__JANUARY_12_2016_1077-2_1091-845.wav
"Samuel A. Alito, Jr.","If the person were in court, the person would say: This is what I did.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_06_2011_936-484_939-686.wav
"Samuel A. Alito, Jr.","So a report that goes to a department or agency's compliance with some law that is not directly related to the mission of that department, that would qualify as a -- as a government end for these purposes, but FOIA's the only thing that doesn't count?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_01_2011_1984-221_2002-932.wav
"Samuel A. Alito, Jr.",We were told that 75 percent of the employees who were covered by the Act do not work for an individual member.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_24_2007_3300-674_3306-818.wav
"Samuel A. Alito, Jr.","Is -- is any of those arguments sufficient by itself, or do you have to take them all together, and you are asking for a rule that only applies here?",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_03_2011_428-97_437-243.wav
"Samuel A. Alito, Jr.","Well, you are asking for what is potentially a very big exception to the 1-year statute of limitations.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_25_2013_1925-433_1932-856.wav
"Samuel A. Alito, Jr.",So why doesn't that knock the legs out from under your textual argument?,skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_24_2010_3260-49_3263-598.wav
"Samuel A. Alito, Jr.","Well, were the merchants in the Braunfeld case engaged in for-profit activity?",,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_25_2014_2811-083_2817-669.wav
"Samuel A. Alito, Jr.",I was on the Third Circuit for eight years under this regime.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_05_2009_1863-036_1867-442.wav
"Samuel A. Alito, Jr.","Isn't that making the tail wag the dog, because there's language in the provisions on successive petitions that refers to Teague, that you would read the Teague exceptions into 2254(d)(1) when there's nothing in the language there that can be interpreted to refer to them?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_01_2006_3020-418_3037-067.wav
"Samuel A. Alito, Jr.","Well, there are many facts here that are favorable to your position, but I would appreciate it if you could articulate the rule of law that you would like us to adopt in this case, the general principle that you would like... the general rule that you would like us to adopt.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_14_2008_2412-748_2428-147.wav
"Samuel A. Alito, Jr.","If both counsel agree that there is manifest necessity for a mistrial, then there isn't going to be a double jeopardy issue in the case, isn't that right?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_29_2010_534-842_544-864.wav
"Samuel A. Alito, Jr.","Isn't it true, General Schmidt, that it makes a big difference whether this is done under the Federal Constitution or under Kansas law? And presumably, the Kansas Supreme Court understood that it had the capability of basing its decision on Kansas law.",skeptical,Samuel_A_Alito_Jr/ORAL_ARGUMENT_NO_14452__OCTOBER_07_2015_544-885_562-22.wav
"Samuel A. Alito, Jr.",Did the arbitrator have -- how many parties were there to this agreement?,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_25_2013_2594-235_2600-888.wav
"Samuel A. Alito, Jr.","Well, we really don't know very much about exactly what happened here, which is unfortunate.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_22_2016_2638-075_2647-705.wav
"Samuel A. Alito, Jr.","The question is whether it's -- the “ in connection with ” requirement is met by the allegation, which is interpreted to mean that there would be future purchases and sales of covered securities.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_07_2013_1761-593_1772-399.wav
"Samuel A. Alito, Jr.","Congress wanted to say, this is okay, it's all going to turn on this inquiry into a really strange psychological state.",,Samuel_A_Alito_Jr/ORAL_ARGUMENT__DECEMBER_01_2014_1308-887_1317-141.wav
"Samuel A. Alito, Jr.",It's coming out of the pocket of taxpayers.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_14_2009_1737-837_1740-373.wav
"Samuel A. Alito, Jr.","This is going to have -- it seems likely this is going to have an effect on public safety and the experts can testify to whatever they want, but you know what, if this order goes into effect, we will see.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_30_2010_4213-278_4225-592.wav
"Samuel A. Alito, Jr.",What if it's told that it has to decide on life or death.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_13_2015_1248-3_1251-575.wav
"Samuel A. Alito, Jr.","Could I ask you this question about the damages that your client is seeking in this case: if -- if we affirm the Ninth Circuit, would -- are you claiming all of the damages that -- all of the emotional damages that resulted from his criminal conviction, or are you claiming only the emotional damages that would have been suffered by anybody else whose records were turned over to the FAA under the Operation Safe Pilot program?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_30_2011_1576-22_1608-064.wav
"Samuel A. Alito, Jr.","Is it your position that this would be a different case if it were brought by, let's say, a county in Alaska as opposed to Shelby County, Alabama?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_27_2013_3452-323_3463-461.wav
"Samuel A. Alito, Jr.","But the question I was asking was: How do you think, assuming that there is a role for deference, how does it fit together with what the statute expressly requires?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_07_2014_1139-446_1147-458.wav
"Samuel A. Alito, Jr.","Is there any other area of the law in which the parties to a contract can, in effect, dictate the substantive standard of administrative review for challenges raised by nonparties?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__NOVEMBER_03_2009_281-899_297-595.wav
"Samuel A. Alito, Jr.",You argue in your -- you argue in your brief that the primary purpose of the Michigan law limiting marriage to a man and a woman was to demean gay people; is that correct?,,Samuel_A_Alito_Jr/ORAL_ARGUMENT__APRIL_28_2015_PART_1_284-33_296-9.wav
"Samuel A. Alito, Jr.",The district court -- or you seem to suggest the district court was wrong in saying that there wasn't sufficient evidence for an actual-innocence claim.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__FEBRUARY_25_2013_1676-196_1683-616.wav
"Samuel A. Alito, Jr.",It would be one thing if Congress passed a law that said a State may apportion congressional districts in any manner consistent with the law of this State.,neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_02_2015_1913-555_1925-825.wav
"Samuel A. Alito, Jr.","There's no -- there was no immunity for someone who is the equivalent of a -- of a cabinet officer, previously?",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_03_2010_2508-086_2514-02.wav
"Samuel A. Alito, Jr.","If... since 924(c) includes some 924(c), doesn't that show that the way Congress used",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__OCTOBER_03_2006_452-893_468-254.wav
"Samuel A. Alito, Jr.","Well, the premise of the question is that the Army Corps of Engineers is doing this just out of the goodness of its heart; that this is a lot of work for them but they just want to be nice to landowners and that's why they've set up this -- this process. And maybe that's correct, although I understood what you were saying earlier to suggest that that's not quite how you see the process; that they do this for their own purposes because they -- it expands their enforcement power, because landowners who have a question about the status of their land have strong incentive to ask for a jurisdictional determination. And if -- so that alerts the Corps to the fact that this is a property that might be subject to their jurisdiction.",neutral,Samuel_A_Alito_Jr/ORAL_ARGUMENT__MARCH_30_2016_2680-87_2730-75.wav
